x	y	name	raster_order	serp_order
-38.7	40.1	A1	0	0
-23.1	40.1	A2	1	1
-7.4	40.1	A3	2	2
8.2	40.1	A4	3	3
23.9	40.1	A5	4	4
39.5	40.1	A6	5	5
-38.7	24.4	B1	6	11
-23.1	24.4	B2	7	10
-7.4	24.4	B3	8	9
8.2	24.4	B4	9	8
23.9	24.4	B5	10	7
39.5	24.4	B6	11	6
-38.7	8.8	C1	12	12
-23.1	8.8	C2	13	13
-7.4	8.8	C3	14	14
8.2	8.8	C4	15	15
23.9	8.8	C5	16	16
39.5	8.8	C6	17	17
-38.7	-6.9	D1	18	23
-23.1	-6.9	D2	19	22
-7.4	-6.9	D3	20	21
8.2	-6.9	D4	21	20
23.9	-6.9	D5	22	19
39.5	-6.9	D6	23	18
-38.7	-22.5	E1	24	24
-23.1	-22.5	E2	25	25
-7.4	-22.5	E3	26	26
8.2	-22.5	E4	27	27
23.9	-22.5	E5	28	28
39.5	-22.5	E6	29	29
-38.7	-38.2	F1	30	35
-23.1	-38.2	F2	31	34
-7.4	-38.2	F3	32	33
8.2	-38.2	F4	33	32
23.9	-38.2	F5	34	31
39.5	-38.2	F6	35	30
